year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2001,ARGENTINA,AR,12 DE OCTUBRE,AR-22036,CHACO,AR-22,2281.40134
2001,ARGENTINA,AR,1º DE MAYO,AR-22126,CHACO,AR-22,199.1756951
2001,ARGENTINA,AR,25 DE MAYO,AR-22168,CHACO,AR-22,315.4334006
2001,ARGENTINA,AR,2 DE ABRIL,AR-22039,CHACO,AR-22,293.3001777
2001,ARGENTINA,AR,9 DE JULIO,AR-22105,CHACO,AR-22,671.2301017
2001,ARGENTINA,AR,9 DE JULIO,AR-82077,SANTA FE,AR-82,2751.792784
2001,ARGENTINA,AR,AGUIRRE,AR-86007,SANTIAGO DEL ESTERO,AR-86,3080.422561
2001,ARGENTINA,AR,ALBERDI,AR-86014,SANTIAGO DEL ESTERO,AR-86,16151.43562
2001,ARGENTINA,AR,ALMIRANTE BROWN,AR-22007,CHACO,AR-22,4754.504445
2001,ARGENTINA,AR,AMBATO,AR-10007,CATAMARCA,AR-10,52.07355947
2001,ARGENTINA,AR,ANCASTI,AR-10014,CATAMARCA,AR-10,29.25274934
2001,ARGENTINA,AR,ANTA,AR-66007,SALTA,AR-66,8833.862742
2001,ARGENTINA,AR,ATAMISQUI,AR-86021,SANTIAGO DEL ESTERO,AR-86,865.0087292
2001,ARGENTINA,AR,AVELLANEDA,AR-86028,SANTIAGO DEL ESTERO,AR-86,1263.530289
2001,ARGENTINA,AR,AYACUCHO,AR-74007,SAN LUIS,AR-74,2958.481983
2001,ARGENTINA,AR,BANDA,AR-86035,SANTIAGO DEL ESTERO,AR-86,2461.301459
2001,ARGENTINA,AR,BELGRANO,AR-74014,SAN LUIS,AR-74,2104.578719
2001,ARGENTINA,AR,BELGRANO,AR-86042,SANTIAGO DEL ESTERO,AR-86,3656.439461
2001,ARGENTINA,AR,BERMEJO,AR-22014,CHACO,AR-22,437.4632708
2001,ARGENTINA,AR,BERMEJO,AR-34007,FORMOSA,AR-34,1300.794413
2001,ARGENTINA,AR,CALAMUCHITA,AR-14007,CORDOBA,AR-14,402.4724143
2001,ARGENTINA,AR,CAPAYAN,AR-10042,CATAMARCA,AR-10,742.1504872
2001,ARGENTINA,AR,CAPITAL,AR-10049,CATAMARCA,AR-10,45.79804052
2001,ARGENTINA,AR,CAPITAL,AR-18021,CORRIENTES,AR-18,88.99878908
2001,ARGENTINA,AR,CAPITAL,AR-46014,LA RIOJA,AR-46,3022.400446
2001,ARGENTINA,AR,CAPITAL,AR-86049,SANTIAGO DEL ESTERO,AR-86,4743.718837
2001,ARGENTINA,AR,CERRILLOS,AR-66035,SALTA,AR-66,112.2015115
2001,ARGENTINA,AR,CHACABUCO,AR-22028,CHACO,AR-22,865.0303369
2001,ARGENTINA,AR,CHACABUCO,AR-74028,SAN LUIS,AR-74,1673.236312
2001,ARGENTINA,AR,CHAMICAL,AR-46035,LA RIOJA,AR-46,289.4612387
2001,ARGENTINA,AR,CHOYA,AR-86063,SANTIAGO DEL ESTERO,AR-86,3155.736307
2001,ARGENTINA,AR,COMANDANTE FERNANDEZ,AR-22021,CHACO,AR-22,428.3041002
2001,ARGENTINA,AR,COPO,AR-86056,SANTIAGO DEL ESTERO,AR-86,3981.017948
2001,ARGENTINA,AR,CRUZ ALTA,AR-90014,TUCUMAN,AR-90,638.3836215
2001,ARGENTINA,AR,CRUZ DEL EJE,AR-14028,CORDOBA,AR-14,5245.139998
2001,ARGENTINA,AR,EL ALTO,AR-10056,CATAMARCA,AR-10,103.9760675
2001,ARGENTINA,AR,FIGUEROA,AR-86070,SANTIAGO DEL ESTERO,AR-86,2121.472659
2001,ARGENTINA,AR,FORMOSA,AR-34014,FORMOSA,AR-34,1050.22188
2001,ARGENTINA,AR,FRAY JUSTO SANTA MARIA DE ORO,AR-22043,CHACO,AR-22,169.9862656
2001,ARGENTINA,AR,FRAY MAMERTO ESQUIU,AR-10063,CATAMARCA,AR-10,5.205959573
2001,ARGENTINA,AR,GENERAL ANGEL V. PENALOZA,AR-46056,LA RIOJA,AR-46,647.2522795
2001,ARGENTINA,AR,GENERAL BELGRANO,AR-22049,CHACO,AR-22,988.5427123
2001,ARGENTINA,AR,GENERAL BELGRANO,AR-46063,LA RIOJA,AR-46,375.2553448
2001,ARGENTINA,AR,GENERAL DONOVAN,AR-22056,CHACO,AR-22,158.6328041
2001,ARGENTINA,AR,GENERAL GUEMES,AR-22063,CHACO,AR-22,1594.050774
2001,ARGENTINA,AR,GENERAL GUEMES,AR-66049,SALTA,AR-66,330.7922925
2001,ARGENTINA,AR,GENERAL JOSE DE SAN MARTIN,AR-66056,SALTA,AR-66,8955.286927
2001,ARGENTINA,AR,GENERAL JUAN F. QUIROGA,AR-46070,LA RIOJA,AR-46,994.3557187
2001,ARGENTINA,AR,GENERAL OBLIGADO,AR-82049,SANTA FE,AR-82,769.1595382
2001,ARGENTINA,AR,GENERAL OCAMPO,AR-46084,LA RIOJA,AR-46,569.8864431
2001,ARGENTINA,AR,GENERAL SAN MARTIN,AR-46091,LA RIOJA,AR-46,2866.496559
2001,ARGENTINA,AR,GENERAL TABOADA,AR-86077,SANTIAGO DEL ESTERO,AR-86,6549.550859
2001,ARGENTINA,AR,GRANEROS,AR-90035,TUCUMAN,AR-90,833.4033582
2001,ARGENTINA,AR,GUASAYAN,AR-86084,SANTIAGO DEL ESTERO,AR-86,7511.442633
2001,ARGENTINA,AR,INDEPENDENCIA,AR-22070,CHACO,AR-22,736.6461457
2001,ARGENTINA,AR,ISCHILIN,AR-14049,CORDOBA,AR-14,8224.251361
2001,ARGENTINA,AR,JIMENEZ,AR-86091,SANTIAGO DEL ESTERO,AR-86,8212.65302
2001,ARGENTINA,AR,JUAN B. ALBERDI,AR-90042,TUCUMAN,AR-90,66.26407915
2001,ARGENTINA,AR,JUAN F. IBARRA,AR-86098,SANTIAGO DEL ESTERO,AR-86,7004.671621
2001,ARGENTINA,AR,JUNIN,AR-74049,SAN LUIS,AR-74,4093.719486
2001,ARGENTINA,AR,LA CANDELARIA,AR-66084,SALTA,AR-66,278.2764215
2001,ARGENTINA,AR,LA COCHA,AR-90049,TUCUMAN,AR-90,340.2796565
2001,ARGENTINA,AR,LAISHI,AR-34021,FORMOSA,AR-34,1051.037045
2001,ARGENTINA,AR,LA PAZ,AR-10070,CATAMARCA,AR-10,7421.960742
2001,ARGENTINA,AR,LA VINA,AR-66098,SALTA,AR-66,170.6397836
2001,ARGENTINA,AR,LEALES,AR-90056,TUCUMAN,AR-90,559.2785181
2001,ARGENTINA,AR,LIBERTAD,AR-22077,CHACO,AR-22,483.170806
